split,label,count,mean,median,std,min,max
test,0,450,17.75111111111111,17.0,6.774464770555179,8,30
test,1,663,18.8763197586727,18.0,6.043130256197558,8,30
train,0,2100,17.87761904761905,17.0,6.9138008545191365,8,30
train,1,3095,18.85815831987076,19.0,6.102092308689671,8,30
val,0,450,17.90888888888889,17.0,7.017519349974782,8,30
val,1,663,19.108597285067873,19.0,6.123870016670852,8,30
