split,label,n_sequences,total_residues,A_count,A_fraction,C_count,C_fraction,D_count,D_fraction,E_count,E_fraction,F_count,F_fraction,G_count,G_fraction,H_count,H_fraction,I_count,I_fraction,K_count,K_fraction,L_count,L_fraction,M_count,M_fraction,N_count,N_fraction,P_count,P_fraction,Q_count,Q_fraction,R_count,R_fraction,S_count,S_fraction,T_count,T_fraction,V_count,V_fraction,W_count,W_fraction,Y_count,Y_fraction
test,0,450,7988,550,0.06885327991987981,387,0.04844767150726089,430,0.05383074611917877,396,0.04957436154231347,360,0.045067601402103155,656,0.08212318477716575,159,0.019904857285928893,416,0.05207811717576365,431,0.05395593390085128,616,0.0771156735102654,217,0.027165748622934402,323,0.04043565348022033,486,0.06084126189283926,280,0.03505257886830245,472,0.05908863294942414,551,0.06897846770155233,364,0.04556835252879319,537,0.0672258387581372,113,0.01414621932899349,244,0.030545818728092138
test,1,663,12515,1034,0.08262085497403117,589,0.04706352377147423,238,0.019017179384738313,225,0.01797842588893328,657,0.052497003595685175,1159,0.09260886935677187,223,0.01781861765880943,900,0.07191370355573312,1544,0.12337195365561326,1485,0.11865761086695965,148,0.011825809029165002,358,0.028605673192169397,505,0.040351578106272476,251,0.02005593288054335,872,0.0696763883339992,629,0.050259688373951256,424,0.03387934478625649,750,0.05992808629644426,306,0.02445065920894926,218,0.0174190970834998
train,0,2100,37543,2613,0.06960019178009216,1633,0.043496790347068694,1923,0.05122126628133074,1758,0.046826305835974746,1766,0.047039394827264734,3248,0.08651413046373492,750,0.019977092933436327,1914,0.050981541166129504,2152,0.05732093865700663,3095,0.0824388035053139,1054,0.02807447460245585,1602,0.042671070505819995,2144,0.057107849665716644,1317,0.03507977519111419,2139,0.0569746690461604,2452,0.06531177583038117,1819,0.048451109394560904,2312,0.06158271848280638,588,0.01566204085981408,1264,0.033668060623818025
train,1,3095,58366,4793,0.08211972723846075,2642,0.04526607956687112,997,0.01708186272830072,1052,0.01802419216667238,2847,0.04877839838262002,5557,0.09520953980056883,1102,0.01888085529246479,4107,0.07036630915258883,7360,0.12610081211664326,6854,0.11743138128362403,668,0.011445019360586643,1632,0.027961484425864373,2609,0.04470068190384813,1085,0.01858958982969537,4122,0.07062330809032656,2981,0.05107425555974369,2025,0.03469485659459274,3446,0.05904122262961313,1583,0.027121954562587806,904,0.015488469314326835
val,0,450,8059,590,0.07321007569177317,363,0.04504280928154858,410,0.050874798362079664,395,0.04901352525127187,407,0.0505025437399181,653,0.0810274227571659,151,0.01873681598213178,417,0.05174339248045663,456,0.056582702568556895,663,0.08226827149770442,214,0.026554163047524507,330,0.04094800843777144,421,0.052239731976672046,295,0.03660503784588658,469,0.05819580593125698,539,0.06688174711502667,427,0.05298424122099516,484,0.060057079042064775,122,0.015138354634570046,253,0.031393473135624766
val,1,663,12669,1057,0.08343199936853737,585,0.04617570447549136,208,0.016418028257952483,211,0.01665482674244218,614,0.04846475649222512,1203,0.0949561922803694,270,0.021311863604072934,940,0.0741968584734391,1538,0.1213986897150525,1520,0.1199778988081143,152,0.011997789880811429,338,0.026679295919172785,537,0.04238692872365617,239,0.01886494593101271,864,0.06819796353303338,648,0.05114847264977504,460,0.03630910095508722,755,0.05959428526324098,335,0.026442497434683084,195,0.015391901491830453
