split,label,net_charge_mean,net_charge_median,net_charge_std,net_charge_min,net_charge_max,charge_density_mean,charge_density_median,charge_density_std,charge_density_min,charge_density_max,hydrophobic_fraction_mean,hydrophobic_fraction_median,hydrophobic_fraction_std,hydrophobic_fraction_min,hydrophobic_fraction_max,positive_fraction_mean,positive_fraction_median,positive_fraction_std,positive_fraction_min,positive_fraction_max,glycine_fraction_mean,glycine_fraction_median,glycine_fraction_std,glycine_fraction_min,glycine_fraction_max,proline_fraction_mean,proline_fraction_median,proline_fraction_std,proline_fraction_min,proline_fraction_max,sequence_entropy_mean,sequence_entropy_median,sequence_entropy_std,sequence_entropy_min,sequence_entropy_max,dipeptide_repeat_fraction_mean,dipeptide_repeat_fraction_median,dipeptide_repeat_fraction_std,dipeptide_repeat_fraction_min,dipeptide_repeat_fraction_max,tripeptide_repeat_fraction_mean,tripeptide_repeat_fraction_median,tripeptide_repeat_fraction_std,tripeptide_repeat_fraction_min,tripeptide_repeat_fraction_max,collagen_motif_score_mean,collagen_motif_score_median,collagen_motif_score_std,collagen_motif_score_min,collagen_motif_score_max,glycine_frame_fraction_mean,glycine_frame_fraction_median,glycine_frame_fraction_std,glycine_frame_fraction_min,glycine_frame_fraction_max
test,0,0.5244444444444445,0.0,2.451412533631788,-8.0,16.0,0.029288665940726624,0.0,0.13416269544600037,-0.3333333333333333,0.64,0.37713143559291645,0.375,0.14763035521941847,0.0,0.8421052631578947,0.1331770412402947,0.11764705882352941,0.10308516728755363,0.0,0.68,0.08418551475047638,0.0714285714285714,0.07760164118814551,0.0,0.375,0.0679961691889482,0.05,0.08747476536125567,0.0,0.8181818181818182,0.714322701312725,0.722346144208289,0.10413616663687461,0.20034035699980554,0.9265226298987057,0.10968531835646018,0.1,0.06309531416513299,0.034482758620689655,0.7142857142857143,0.08830664721297901,0.07692307692307693,0.05655400230745145,0.03571428571428571,0.6923076923076923,0.16811507936507936,0.1466666666666666,0.12445502524476049,0.0,0.8,0.1857522045855379,0.1666666666666666,0.1576935306619798,0.0,1.0
test,1,3.282051282051282,3.0,2.7212536014729154,-8.0,13.0,0.1880825925903462,0.16666666666666666,0.16421552083998292,-0.4444444444444444,0.875,0.4439767022332852,0.45,0.14490792298534771,0.0,0.8,0.22381496258466457,0.2,0.14082866974614838,0.0,0.875,0.08902903258991794,0.0714285714285714,0.08850164606653861,0.0,0.5555555555555556,0.0412010954154706,0.0,0.06872628299421937,0.0,0.5,0.665421434748609,0.687859359080686,0.12035618551700972,0.30051285263903665,0.920499715368112,0.12191643665436203,0.10526315789473684,0.06341404777354305,0.03571428571428571,0.42857142857142855,0.0869490136376246,0.07692307692307693,0.047855650078846824,0.03571428571428571,0.34782608695652173,0.1650684419066772,0.1383333333333333,0.16671855526688215,0.0,0.9666666666666668,0.19023917259211376,0.1666666666666666,0.20088887988027426,0.0,1.0
train,0,0.6476190476190476,0.0,2.6401847582170666,-8.0,21.0,0.03280307012492816,0.0,0.14152226512384666,-0.625,0.8333333333333334,0.3844022772705775,0.38095238095238093,0.14467803625778627,0.0,0.8947368421052632,0.1316392516771064,0.1111111111111111,0.10228116837343512,0.0,0.8333333333333334,0.0895190992117167,0.07846153846153844,0.08087021666831622,0.0,0.5,0.0645360709515853,0.0476190476190476,0.0793332789052235,0.0,0.5555555555555556,0.7236222005152418,0.7359754529392141,0.09783638111936743,0.22083523417569473,0.9540259204393543,0.1039605039770971,0.09090909090909091,0.05348382223479104,0.034482758620689655,0.5652173913043478,0.08490413972438197,0.07692307692307693,0.04681461400934013,0.03571428571428571,0.5,0.17157836356764924,0.16,0.12633570229098506,0.0,0.8333333333333334,0.19136772486772485,0.2,0.15618182997074173,0.0,1.0
train,1,3.4038772213247173,3.0,2.829178552903559,-9.0,18.0,0.19310950355646525,0.16666666666666666,0.16801478514592205,-0.4,0.8888888888888888,0.44155756596590306,0.4583333333333333,0.1531229748230728,0.0,0.9333333333333333,0.2262060539755548,0.2,0.14671944970923254,0.0,0.8888888888888888,0.09021646116742563,0.074074074074074,0.08926939417290039,0.0,0.6785714285714286,0.04538039962851134,0.0,0.07286195052623919,0.0,0.6785714285714286,0.6606124577120526,0.6832181068925763,0.12497329876971312,0.1803245727789917,0.9006313081314016,0.12363493349401088,0.10526315789473684,0.06997991700552675,0.034482758620689655,0.6153846153846154,0.09036151540177319,0.07692307692307693,0.05675537527625337,0.03571428571428571,0.5,0.16546918352693796,0.1455357142857143,0.16363384077403026,0.0,0.9666666666666668,0.1907459548170372,0.1666666666666666,0.1973752223047986,0.0,1.0
val,0,0.6022222222222222,0.0,2.552695321150395,-7.0,20.0,0.03168445183814284,0.0,0.1302421331413395,-0.375,0.7407407407407407,0.39154008818734926,0.38461538461538464,0.15142526447082125,0.0,0.9,0.13043933147705,0.1111111111111111,0.10039450370892293,0.0,0.7407407407407407,0.08129730691524076,0.0689655172413793,0.0774648592218743,0.0,0.3846153846153846,0.060947493414908196,0.0416666666666666,0.08130579737178878,0.0,0.4615384615384615,0.7243869220721246,0.7275131342462346,0.10170681511594329,0.30051285263903665,0.9266434045558127,0.1027956722972802,0.09307359307359307,0.0523895347118973,0.034482758620689655,0.42857142857142855,0.08563188285670525,0.07692307692307693,0.047923178721913096,0.03571428571428571,0.3333333333333333,0.15830268959435623,0.1345238095238095,0.13009044150585322,0.0,0.8500000000000001,0.17613492063492064,0.1666666666666666,0.1609768464668103,0.0,1.0
val,1,3.3981900452488687,3.0,2.814205931923312,-4.0,20.0,0.18910273626404758,0.16666666666666666,0.16234581148366592,-0.23076923076923078,1.0,0.4490756838754834,0.46153846153846156,0.14482781804843173,0.0,0.8333333333333334,0.2206156670487121,0.19047619047619047,0.14452259007846233,0.0,1.0,0.08907570956703494,0.0769230769230769,0.08392914591513616,0.0,0.6,0.042684375842970995,0.0,0.07178066433525362,0.0,0.6666666666666666,0.6683570274931879,0.6972954254498599,0.1261892008954069,-0.0,0.900908253030448,0.12272013996635366,0.1,0.08065838786877752,0.034482758620689655,1.0,0.09006143854143023,0.07692307692307693,0.07102788305075294,0.03571428571428571,1.0,0.15895382939500585,0.1383333333333333,0.143111910102662,0.0,0.92,0.18367928367928368,0.1666666666666666,0.1717460331466716,0.0,1.0
