model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
amp_predictor,1,0.4257114698785905,0.4153565692130446,0.8013474494706448,0.816711590296496,0.8314276380267885,0.8433179723502304
amp_predictor,2,0.3860527698298391,0.38662359862850254,0.8173243503368623,0.8355795148247979,0.8396146695960792,0.856470588235294
amp_predictor,3,0.37913642554356575,0.3923358181683951,0.8381135707410972,0.8310871518418689,0.8557213930348259,0.8488745980707395
amp_predictor,4,0.3557448135934505,0.37464621754133903,0.8485081809432147,0.8409703504043127,0.8701534400263983,0.8649885583524027
amp_predictor,5,0.331165301076946,0.35570483296600847,0.8623676612127045,0.8472596585804133,0.8817986444040338,0.8686244204018547
amp_predictor,6,0.31836289476614027,0.3485529323686701,0.8691049085659288,0.8526504941599281,0.8873426110006626,0.8732612055641421
amp_predictor,7,0.31176776888854696,0.3523032191039631,0.8737247353224254,0.8535489667565139,0.890993685609837,0.8733488733488733
amp_predictor,8,0.3069663037636512,0.34842092935447744,0.8698748796920116,0.8643306379155435,0.8854625550660793,0.880443388756928
amp_predictor,9,0.29059962727796357,0.34306032333091263,0.8825794032723773,0.8589398023360287,0.8994063324538257,0.8787644787644787
amp_predictor,10,0.29002319807267396,0.35225497091127106,0.8779595765158806,0.862533692722372,0.8929777177582714,0.8788598574821853
toxicity_predictor,1,0.20745427756210838,0.20951409153272094,0.9228103946102021,0.9236298292902066,0.7328447701532312,0.7447447447447447
toxicity_predictor,2,0.17205020125320716,0.1719222934874777,0.9282001924927815,0.9335130278526504,0.7367678193366267,0.7658227848101264
toxicity_predictor,3,0.14882471648056536,0.14751369392989674,0.9332050048123195,0.9433962264150944,0.7621658670322139,0.8061538461538461
toxicity_predictor,4,0.12981034009587433,0.13611021390902706,0.9501443695861406,0.9514824797843666,0.83617963314358,0.8439306358381503
toxicity_predictor,5,0.11761010476353079,0.12504108112241807,0.951684311838306,0.9559748427672956,0.8474164133738602,0.8642659279778393
toxicity_predictor,6,0.11172058552044647,0.12316296167290114,0.9524542829643888,0.9568733153638814,0.8378200919238344,0.8588235294117647
toxicity_predictor,7,0.10052152772123017,0.11008462460455548,0.9591915303176131,0.9595687331536388,0.8692971639950678,0.8773841961852861
toxicity_predictor,8,0.09501711623787995,0.10797440697776232,0.9628488931665062,0.958670260557053,0.8752424046541694,0.867816091954023
toxicity_predictor,9,0.09141090152439185,0.10276129153646656,0.9628488931665062,0.9613656783468104,0.8750809061488672,0.878186968838527
toxicity_predictor,10,0.08979196502711477,0.10378816701063463,0.9616939364773821,0.9613656783468104,0.874921433060968,0.8808864265927976
