model,split,n,loss,threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,pr_auc,tp,tn,fp,fn
amp_predictor,train,5195,0.29002319807267396,0.5,0.8779595765158806,0.9349593495934959,0.8546042003231018,0.9123809523809524,0.8929777177582714,0.8834925763520272,0.9485829679206091,0.9671591167002159,2645.0,1916.0,184.0,450.0
amp_predictor,val,1113,0.35225497091127106,0.5,0.862533692722372,0.925,0.8371040723981901,0.9,0.8788598574821853,0.868552036199095,0.9164839953075248,0.9500316237048672,555.0,405.0,45.0,108.0
amp_predictor,test,1113,0.36329631412339874,0.5,0.8490566037735849,0.9118136439267887,0.8265460030165912,0.8822222222222222,0.8670886075949367,0.8543841126194067,0.9173420479302833,0.9446081179791247,548.0,397.0,53.0,115.0
toxicity_predictor,train,5195,0.08979196502711477,0.5,0.9616939364773821,0.9133858267716536,0.8395657418576599,0.9848831882730188,0.874921433060968,0.9122244650653393,0.990878633944611,0.9586900869440754,696.0,4300.0,66.0,133.0
toxicity_predictor,val,1113,0.10378816701063463,0.5,0.9613656783468104,0.8833333333333333,0.8784530386740331,0.9774678111587983,0.8808864265927976,0.9279604249164157,0.9875690607734806,0.9444658394781728,159.0,911.0,21.0,22.0
toxicity_predictor,test,1113,0.09639796744513277,0.5,0.9595687331536388,0.8711656441717791,0.8554216867469879,0.9778247096092925,0.8632218844984803,0.9166231981781402,0.9880217808933729,0.9464472597075019,142.0,926.0,21.0,24.0
