model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
amp_predictor,1,0.642462432384491,0.6395642161369324,0.8235294117647058,0.8571428571428571,0.0,0.0
toxicity_predictor,1,0.581486165523529,0.5719219446182251,0.8823529411764706,0.9285714285714286,0.0,0.0
